Auteur(s),Titre,Edition,Date,ISBN
Jacques Wolff,Les Perier: la fortune et les pouvoirs,Economica,1999,9782717825381
Paul Chauchard,Le langage et la pensée,Pr. univ. de France,1983,9782130381631
"['Émeline Lebouteiller', 'Ginette Hoffmann']",Marie Curie et le radium,Casterman,2005,9782203173071
"['Álvaro Pombo', 'André Gabastou']",Les Êtres immatériels,C. Bourgois,1990,9782267007091
François Paris,Les sépultures du Sahara nigérien du Néolithique à l'islamisation / 2. Corpus des sépultures fouillées,Orstom Ed.,1996,9782709913171
Claude Moussy,La composition et la préverbation en latin,Presses de l'Université Paris-Sorbonne,2005,9782840503521
Maxime Prével,L'usine à la campagne: une ethnographie du productivisme agricole,L'Harmattan,2007,9782296023291
Raphaël Delpard,L' histoire des pieds-noirs d'Algérie: (1830-1962),Lafon,2003,9782840987611
Pierre Cotte,Grammaire linguistique,CNED,1997,9782864602941
"['', 'et al']",Prévention et lutte contre la corrosion: une approche scientifique et technique,Presses Polytechniques et Universitaires Romandes,2004,9782880745431
"['Florence Cestac', 'Martine Lagardette']",Jambon-beur: les couples mixtes,Soleil,1995,9782877643771
Solange Cormier,La communication et la gestion,Presses de l'Université du Québec,2005,9782760508101
Patrick Declerck,Les naufragés: avec les clochards de Paris: avec ... une lettre de Jean Malaurie à l'auteur suivie de la réponse,Plon,2001,9782259183871
"['Jean de La Bruyère', 'Claude Aziza', 'Catherine Bouttier-Couqueberg', 'Annie Collognat-Barès']","""Les caractères"", Jean de La Bruyère: ""De la cour"", ""Des grands",Pocket,2004,9782266146081
"['Sylvie Persec', 'Jean-Claude Burgué']","Grammaire raisonnée, anglais. 2: corrigés des exercices",Ophrys,2002,9782708010611
Agnès Clerc,Al: roman,Éd. du Seuil,2008,9782020977791
"['Lucy Whitaker', 'Martin Clayton', 'Aislinn Loconte']",The Art Of Italy In The Royal Collection: Renaissance & Baroque,Royal Collection Enterprises,2007,9781902163291
Paul Jacques Lehmann,De l'ange gardien du franc au bâtisseur de l'euro: histoire et évolution des banques centrales,L'Harmattan,2000,9782738496461
"['Junʼichi Saga', 'Geneviève Navarre']",Mémoires de paille et de soie,Editions Philippe Picquier,1996,9782877302531
Stanislas-André Steeman,Un mur de pierres tendres (peut-être un vendredi): roman,Le Cri édition,2008,9782871064671
"['Odile Gandon', 'Edmond Baudoin']",Dictionnaire de la mythologie grecque et latine,Hachette,1996,9782013215251
Béatrice Fontanel,L'éternel féminin: une histoire du corps intime,Seuil,2001,9782020492041
Liliane Atlan,"Le maître des eaux amères. 5, Les ânes porteurs de livres, théatre",Harmattan,2007,9782296028661
François Laplantine,Ethnopsychiatrie psychanalytique,Beauchesne,2007,9782701015101
Bernard Pujo,Le général George C. Marshall (1880-1959): par deux fois il à sauvé l'Europe,Economica,2003,9782717844641
"['Peter Handke', 'Georges-Arthur Goldschmidt']",Les gens déraisonnables sont en voie de disparition,L'Arche,2005,9782851810571
"['Wallace Stegner', 'Éric Chédaille']",En lieu sûr,Phébus,2003,9782859409111
Barbara Taylor Bradford,L'héritage d'Emma Harte,Belfond,2002,9782253056911
"['Peter Lovesey', 'Mélanie Caillaud']",Le vicaire persiste et saigne,Ed. du Masque,2004,9782702431511
Og Mandino,Le plus grand miracle du monde,Éditions Un Monde différent,1999,9782920000131
"['David Guterson', 'Claude Demanuelli', 'Jean Demanuelli']",La neige tombait sur les cèdres: roman,Éd. du Seuil,1997,9782020321211
"['Carlo Lucarelli', 'Arlette Lauterbach']",L'île de l'ange déchu,Gallimard,2002,9782070412471
"['Elise Colombeau', 'Céline Denoyer', 'Mireille Lala', 'et al']",Sciences et techniques sanitaires et sociales: ST2: Livre du professeur,Nathan,2008,9782091607061
Larry Dimarc,Miroir qui fume: roman,Éd. Éditeur indépendant,2006,9782353350261
"['Jean-Pierre Hammer', 'Cairn.info,']","Lenau, poète rebelle et libertaire",Aubier (ReLIRE),1987,9782700717501
"['Jean Julien Weber', 'Jean-Noël Grandhomme']",Sur les pentes du Golgotha: un prête dans les tranchées,La Nuée Bleue,2001,9782716505291
"['Frédéric Descouturelle', 'Michel Rodriguez', 'André Mignard']",Le mêtropolitan d'Hector Guimard,Somogy,2003,9782850566691
Claude Barthe,"Trouvera-t-Il encore la Foi sur la terre ?, une crise de l'Eglise: histoire et questions",François-Xavier de Guibert,1996,9782868394491
"['Brigitte Namour', 'François Bertram']","Craquants, les croustillants",Albin Michel,2004,9782226149961
"['Jean-Marc Mantel', 'Jacques Vigne']",Vijñâna Bhairava: la divine conscience,Editions Recto-Verseau,2002,9782883431461
"['Rita El Khayat', 'Meriem Mezian', 'Abdelkrim Raddadi']",Le somptuex Maroc des femmes = Women's sumptuous Morocco,Editions Marsam,2001,9789981149441
Bernadette Pécassou-Camebrac,L'impératrice des roses: roman,J'ai lu,2007,9782290355671
Lise Beaudry,Dictionnaire mots croisés: noms propres et noms communs,Solar,2007,9782263045141
Nickelodeon productions.,Bob l'éponge: calendrier 2009,Jungle,2008,9782874426131
Jacques Davy Du Perron,Recueil des poésies,Actes Sud-Papiers,1988,9782869431201
"['Fyodor Dostoyevsky', 'André Markowicz']",La Logeuse,Actes sud,1999,9782742702671
George Orwell,Nineteeen Eighty-Four,Penguin,1989,9780141187761
Roger Coupechoux,LA NUIT DE WALPURGIS - Avoir vingt ans à Langenstein,Harmattan,2005,9782747577441
Vladimir Sorokin,La glace: roman,Seuil,2008,9782757807231
Bruno Valcke,Les sentiers d'Emilie dans les Landes,Rando éditions,2003,9782841821891
Pauline Sales,Le Groenland,Solitaires intempestifs,2003,9782846810531
Nicole Belmont,Les signes de la naissance: étude des représentations symboliques associées aux naissances singulières,G. Monfort,1983,9782852261761
"['Claude Carozzi', 'Huguette Taviani-Carozzi', 'Séminaire Sociétés, idéologies et croyances au Moyen âge. (Aix-en-Provence, Bouches-du-Rhône)']",Faire mémoire: souvenir et commémoration au Moyen âge,Publications de l'Université de Provence,1999,9782853994361
"['Olivier Netter', 'Nigel Hill']",Satisfaction client: de la conquête à la fidélisation,Ed. Eska,2000,9782869119321
Philippe Napoletano,Trio,HB éditions,2005,9782914581431
Frank Andriat,La remplaçante: roman,[Sodis diff.],2008,9782874230301
Jack Haywart,Les Groupes d'intérêt,Seuil,1996,9782020307291
"['Michel Hochmann', 'Renaud Temperini', 'Guillaume Cassegrain']",L'ABCdaire de la Renaissance italienne,Flammarion,2001,9782080126481
"['Michel Hanus', 'Olivier Louis']",Psychiatrie de l'étudiant,Maloine,2007,9782224027711
"['Klaus Bös', 'Sylvie Hinderberger', 'Susanne Tittlbach']",Marche et course de fond,Vigot,2008,9782711419401
"['Luc Jacquet', 'Eric Caro, photographe.', 'Pascal Chantier']","""Le renard et l'enfant""",M. Lafon,2007,9782749906881
Ion-Mihnea-Tudor Dinu,Les relations de la Roumanie avec les pays voisins après 1989: une intégration régionale plus poussée au sein d'ensembles pluri-nationaux,Harmattan,2000,9782738495631
Delphine Croulard,De l'amour à la haine en un poème: poésies,Société des écrivains,2006,9782748029581
Carlo Maria Martini,Silence,Lumen Vitae,1995,9782873240691
Jean-Hubert Gailliot,Les contrebandiers,Olivier,2000,9782879292441
Thierry Debroux,Moscou nuit blanche. Le Clown et l'enfant sombre,Ed. Lansman,1996,9782872821341
Henri Duhamel,"Pillotage: mémoires de lecture, 1985-1995",Paradigme,1995,9782868781611
Henri Gougaud,Le rire de la grenouille: petit traité de philosophie artisanale,Carnets Nord,2008,9782355360121
"['Félix Duban', 'Sylvain Bellenger', 'Françoise Hamon', 'Château de Blois (Museum)']",Félix Duban: 1798-1870: les couleurs de l'architecte,Gallimard/Electa,1999,9782070150281
Àlex Sánchez Vidiella,Atlas de l'architecture aujourd'hui,Eyrolles,2008,9782212123821
Henri Troyat,L'affaire Crémonnière: roman,Flammarion,1999,9782080674401
"['David Lefebvre, professeur.', 'et al']",Eurêka: des problèmes pour chercher cycle 3,MDI,2008,9782223109111
Yves Michaud,"Le cerveau, le langage, le sens",Odile Jacob,2002,9782738111241
"['Henri Labayle', 'Anne Weyembergh', 'Serge de Biolley', 'Union européenne.']","Code Of Criminal Law Of The European Union 2005: Texts Up To January 1St, 2005",Bruylant,2005,9782802719311
"['Pascale de Bourgoing', 'Catherine Chion']","Tsao, le petit Chinois",Calligram,2001,9782884455251
"['Hervé Richez', 'Mig']","Demain, les écritures",Bamboo éd.,2008,9782350783161
"['Maryse Guittard', 'Yvon Le Fiblec', 'Nicole Matte']","Administration commerciale: BEP ACC 1ere année, seconde professionnelle",Bertrand-Lacoste,1992,9782735207671
Jean-François Chiantaretto,"Écriture de soi et narcissisme: [colloque, 24-25 septembre, Paris, Université Paris VII]",Érès,2002,9782749200521
"['Claude Huguenin', 'Olivier Dubois']",Méthode alpha: [ludique et efficace pour le déclic lecture--],Eveil et découvertes,2006,9782353660001
Jacques Levinet,La canne-défense CDJL: méthode anti-agression pour tous,Chiron,2008,9782702712481
"['David Antin', 'Vincent Broqua', 'Olivier Brossard', 'Abigail Stéphanie Lang']",Ce qu'être d'avant-garde veut dire,Les Presses du réel,2008,9782840662341
"['Sylvie de Mathuisieulx', 'Sébastien Diologent']",Comment faire enrager sa soeur chérie: en 10 leçons,Petit à petit,2008,9782849491331
Roger Frison-Roche,La Grande crevasse,Flammarion,1982,9782080917461
"['Edwige', 'Mada']",Choses entendues,E. Floré,2005,9782951865341
Claire Ly,Retour au Cambodge: le chemin de liberté d'une survivante des Khmers rouges,Atelier,2007,9782708238961
Pascal Morand,La victoire de Luther: essai sur l'Union économique et monétaire,Vivarium,2001,9788885239531
Gilles Bojan,Les anges noirs,Atlantica,2005,9782843948251
Najib Redouane,ECRITURES FÉMININES AU MAROC - Continuité et évolutio,Harmattan,2006,9782296015531
"['Jean-Jacques Maga', 'Christine Méron']",Le défi-lecture: pour une pédagogie de la lecture-écriture en projet,Chronique sociale,2003,9782850084881
"['Isabelle Rousseau', 'Institut de recherche du monde anglophone (Aix-en-Provence, Francia)']",L'Américanisation de élites mexicaines,Université de Provence,2000,9782853994651
Christiane d' Haussy,Les artisans de paix,Presses universitaires de Reims,1996,9782904835421
Claude-Youenn Roussel,Meurtres au jardin de la marine,Palémon,2007,9782907572811
Jacques Zimmer,L'affaire Roman,J'ai lu,1994,9782277070801
"['Germain Duclos', 'Hôpital Sainte-Justine.']",Guider mon enfant dans sa vie scolaire,Éditions du CHU Sainte-Justine,2006,9782896190621
"['Hanif Kureishi', 'Mona de Pracontal']",Le don de Gabriel,10-18,2003,9782264036421
Philippe Delalande,Gestion de l'entreprise industrielle en Afrique,Agence de Coopération Culturelle et Technique,1987,9782717812091
"['Sonia Lesot', 'Henri Gaud']",Les jardins de Valloires: de la plante à la planète,Gaud,2006,9782840801511
Jean-Marc Roberts,Les seins de Blanche-Neige: roman,Librairie générale française,1996,9782253139171
"['Dupuy', 'Berberian']",Journal d'un album,L'Association,2004,9782909020341
Fabrice Roufino,Jours de flics: vues de l'intérieur,Éd. PubliArt,2005,9782952304221
Valentin Nikiprowetzky,Études philoniennes,Éditions du Cerf,1996,9782204052351
"['Sylvie Allouche', 'Agnès Guérin']",Paris des anges,Félin,1998,9782866452841
"['Henri Vernes', 'Frank Leclercq']",Tout Bob Morane. Volume 8,Ananké-Lefrancq,2003,9782874180941
André Fournier,Les Vendéens et la mer: contes du littoral,Geste,2007,9782845613751
"['Dominique Paquet', 'Philippe Rouyer']","Le théâtre du port de la lune du centre dramatique national au théâtre national Bordeaux-Aquitaine, 1986-2003",Théâtre du port de la lune,2003,9782914240451
Guy Mouny,"Lorsque Chéops se met à ""réfléchir"": la chiralité, du graviton au neutrino",Les 3 spirales,2003,9782847730111
George Whitefield,"""L'Éternel est ma justice"": Jérémie, 23, 6",Europresse,1995,9782906287631
"['William Shakespeare', 'Jean-Michel Déprats', 'Gisèle Venet', 'Henri Suhamy']",Hamlet,Gallimard,2008,9782070304301
Serge Rezvani,Variations sur les jours et les nuits: journal,Editions du Seuil,1985,9782020086011
"['Zeruya Shalev', 'Laurence Sendrowicz']",Thèra,Gallimard,2008,9782070358151
"['Marcel Aymé', 'Roland Sabatier', 'Claudine Sabatier']",La patte du chat,Gallimard Jeunesse,2002,9782070538911
Olivier Revault d'Allonnes,La création artistique et les promesses de la liberté,Klincksieck,2007,9782252036211
Rosenn Le Page,30 massifs à créer,Éd. Rustica,2003,9782840384861
"['Nicolette Baumeister', 'allround Fremdsprachen GmbH. von der Lühe.']",New Landscape Architecture,Verlagshaus Braun,2007,9783938780251
"['Robert Boyer', 'Bernard Chavance', 'Olivier Godard']",Les figures de l'irréversibilité en économie,Editions de l'Ecole des hautes études en sciences sociales,1991,9782713209611
Gérald Bronner,Journal de guerre,Ed. Baleine,2001,9782842193171
Christian Jacq,La pierre de lumière: roman,XO Editions,2000,9782845630031
"['Gudule.', 'Yann Autret']",Le dentiste est un vampire,Hachette Jeunesse,2006,9782013212311
Alphonse Daudet,Le petit chose,Hachette,2000,9782013217491
"['Jean-Paul, pape', 'Henri Brincard']",Le rosaire de la Vierge Marie,Cerf,2003,9782204072021
Lucienne Erville,Le Chat Follet Sur La Patinoire,Casterman,1982,9782203104341
Niccolo Ammaniti,Et je t'emmene,Grasset,2003,9782253154501
Jacques Véron,"L'espérance de vivre: âges, generations et sociétés",Editions du Seuil,2005,9782020621571
Christian Valensi,Un témoin sur l'autre rive: Washington 1943-1949,Imprimerie nationale,1994,9782110876461
"['Laure Neumayer', 'Georges Mink']",L'Europe et ses passés douloureux,[Diffusion] Cairn.info,2010,9782707151971
Guillaume Le Touze,Dis-moi quelque chose: roman,Leméac,2001,9782742734061
Armel Job,La femme de saint Pierre: et autres récits en bordure des Évangiles,Labor,2005,9782804021351
Philip Booth,Aménagement et urbanisme en France et en Grande-Bretagne: étude comparative,L'Harmattan,2007,9782296035331
Jean-Luc Berlet,Au-delà du désespoir,Ed. L'Harmattan,2005,9782747592321
"['Dany Dan Debeix', 'Catherine Descré', 'et al']",Mincir sans privation: par l'autohypnose et la sonothérapie,G. Trédaniel,2006,9782844457271
Lorna Kent,Les animaux,Éd. Piccolia,2004,9782845409101
Georges Lerbet,L'expérience du symbole: essai,Ed. Vega,2007,9782858294671
Jérôme Bertin,Babylone: trilogie,Dernier télégramme,2007,9782917136041
Elisabeth Weissman,Coco Chanel,Ed. de la Loupe,2011,9782848681771
François Hartog,Régimes d'historicité: présentisme et expériences du temps,Seuil,2003,9782020593281
Mehdi Charef,Le thé au harem d'Archimed,Mercure de France,2002,9782070380411
Sarna Amati,Internet et Internet Explorer 5: édition 1999,OEM,1999,9782212250121
MIREILLE.,AVEC LE SOLEIL POUR TEMOIN,LAFFONT,1981,9782221008201
Bérangère Taxil,L'OMC et les pays en développement,Montchrestien,1998,9782707610751
Martine Pradoux,Daniel Mayer: un socialiste dans la Résistance,Les Éd. de l'Atelier-les Éd. ouvrières,2002,9782708236301
"['John Foster', 'Korky Paul', 'Oxford University Press,']",Dinosaur Poems,Oxford University Press,2004,9780192763051
"['Aurélie Raoul-Bellanger', 'Françoise Bellanger']",Réussir son entrée en grammaire au CE1,Retz,2008,9782725627991
Isabelle Mauz,"Gens, cornes et crocs",Editions Quae,2005,9782738011961
Patrice Vergès,Tempête sur le bassin,L. Souny,2008,9782848861791
Paracelse,Archidoxes de Théophraste ; (suivi de) Commentaires des aphorismes d'Hippocrate ; (suivi de) La philosophie aux Athéniens,Dervy,2006,9782844544421
Patrick Serlooten,EURL: entreprise unipersonnelle à responsabilité limitée,GLN Joly,1999,9782907512381
Jacques Brou,L'un,L. Scheer,2003,9782915280081
"['Nancy E. Walker-Guye', 'Nora Hilb']",Le cadeau de Noël d'Émilie: une histoire,Éditions Nord-Sud,2003,9783314216381
